PID,Type,SMILES,H2,CO2,O2,N2,CH4
Perm600,Polypropynes & Polyalkynes,C\C(*)=C(/*)[Si](C)(C)C1=CC=CC=C1,14.0,37.6,4.4,1.2,1.7
Perm601,Hydrocarbon Elastomers,C\C(C*)=C(\C)C*,17.0,7.47,2.1,0.472,0.786
Perm602,Hydrocarbon Elastomers,C\C(C*)=C\C*,49.0,153.0,23.3,8.75,29.55
Perm603,Vinyl and Vinylidene Polymers,ClC(*)C*,1.79,0.16,0.0453,0.0109,0.0263
Perm604,Hydrocarbon Elastomers,ClC(*)CCCC(*)S(Cl)(=O)=O,13.3,,3.285,0.955,
Perm605,Vinyl and Vinylidene Polymers,ClC(Cl)(*)C*,,0.029,0.005195,0.000939,
Perm606,Polycarbonates,ClC(Cl)=C(C1=CC=C(*)C=C1)C1=CC=C(OC(=O)O*)C=C1,11.35,6.5,1.4,0.26,0.27
Perm607,Polyimides and Polypyrrolones,ClC1=CC(*)=CC=C1CC1=C(Cl)C=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O,,0.335,0.0957,0.0107,0.0055
Perm608,Parylenes,ClC1=CC(C*)=C(Cl)C=C1C*,,0.783,0.181,0.0271,
Perm609,Parylenes,ClC1=CC(C*)=CC=C1C*,0.9315,0.0867,0.0456,0.006,
Perm610,Polyimides and Polypyrrolones,ClC1=CC(CC2=CC(Cl)=C(C=C2)N2C(=O)C3=CC=C(C=C3C2=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)=CC=C1*,,0.978,0.26,0.0307,0.0164
Perm611,Vinyl and Vinylidene Polymers,ClC1=CC=C(C=C1)C(*)C*,,4.3,1.2,0.23,0.26
Perm612,Hydrocarbon Elastomers,ClCC(*)CO*,,8.0,,0.24,0.657
Perm613,Hydrocarbon Elastomers,ClCC(C*)O*,8.9,,1.05,0.44,
Perm614,Hydrocarbon Elastomers,Cl\C(C*)=C\C*,20.55,25.65,4.0,2.07,3.28
Perm615,Vinyl and Vinylidene Polymers,FC(*)C*,0.35,0.07915,0.0189,0.00155,
Perm616,Perfluorinated Polymers,FC(F)(*)C(F)(Cl)CC*,,0.607,0.152,0.061,
Perm617,Perfluorinated Polymers,FC(F)(*)C(F)(F)*,,12.7,4.9,,10.0
Perm618,Perfluorinated Polymers,FC(F)(*)C(F)(F)CC*,,1.98,0.532,0.182,
Perm619,Vinyl and Vinylidene Polymers,FC(F)(*)C*,0.538,0.517,0.0826,0.0223,0.02
Perm620,Perfluorinated Polymers,FC(F)(*)C1(F)OC(F)(F)C(F)(F)C1(F)C(F)(F)*,59.0,35.0,16.0,5.0,2.0
Perm621,Polyimides and Polypyrrolones,FC(F)(F)C(*)(C1=CC2=C(C=C1)C(=O)N1C3=C(C=C(C=C3)C3=CC4=C(C=C3)N=C3N4C(=O)C4=C3C=CC(*)=C4)N=C21)C(F)(F)F,74.4,,7.75,1.44,
Perm622,Polyimides and Polypyrrolones,FC(F)(F)C(*)(C1=CC2=C(C=C1)C(=O)N1C3=C(C=C(OC4=CC5=C(C=C4)N=C4N5C(=O)C5=C4C=CC(*)=C5)C=C3)N=C21)C(F)(F)F,54.9,,5.04,0.81,
Perm623,High Temperature Polymers,FC(F)(F)C(*)(C1=CC=C(C=C1)C1=CC=C(*)C=C1)C(F)(F)F,470.0,470.0,120.0,41.0,34.0
Perm624,Thermally Rearranged Polymers,FC(F)(F)C(*)(C1=CC=C(C=C1)C1=NC2=C(O1)C=CC(=C2)C(C1=CC=C2OC(=NC2=C1)C1=CC=C(C=C1)C(C1=CC=C2C3=NC4=C(C=CC(=C4)C4=CC5=C(C=C4)N=C4N5C(=O)C5=C4C=C(*)C=C5)N3C(=O)C2=C1)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,1989.0,1805.0,421.0,85.0,46.0
Perm625,High Temperature Polymers,FC(F)(F)C(*)(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=C(*)C=C1,114.0,166.0,25.0,6.6,10.0
Perm626,High Temperature Polymers,FC(F)(F)C(*)(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(*)C=C1,126.0,220.0,32.0,9.0,13.0
Perm627,High Temperature Polymers,FC(F)(F)C(*)(C1=CC=CC=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,28.0,17.0,3.5,0.69,0.65
Perm628,High Temperature Polymers,FC(F)(F)C(*)(C1=CC=CC=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1,11.0,4.2,0.91,0.15,
Perm629(ladder),Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC(*)=C(C=C1)C(*)=O)(C1=CC=C2C3=NC4=CC5=C(C=C4N3C(=O)C2=C1)N(*)C(*)=N5)C(F)(F)F,,54.0,15.2,2.58,0.911
Perm630,Polytriazole_NEW,FC(F)(F)C(C1=CC(*)=CC=C1)(C1=CC(=CC=C1)C1=NN=C(*)N1C1=CC=CC=C1)C(F)(F)F,,132.0,26.15,5.93,4.66
Perm631,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC(*)=CC=C1)(C1=CC=CC(=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC2C(C=C1)C(=O)N(*)C2=O)C(F)(F)F,,1.05,0.39,0.047,0.014
Perm632,Polycarbonates,FC(F)(F)C(C1=CC(Br)=C(O*)C(Br)=C1)(C1=CC(Br)=C(OC(*)=O)C(Br)=C1)C(F)(F)F,10.6,32.0,9.7,1.8,0.89
Perm633,Polyimides_NEW,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=C(*)C=C2)C(F)(F)F ,329.0,202.0,43.9,10.7,7.2
Perm634,Polyimides_NEW,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC2=CC=C3OC4CC(C3=C2C=C1)C1=C(O4)C=CC2=C1C=CC(*)=C2)C(F)(F)F,60.15,26.3,5.85,1.1,0.6
Perm635,Polyimides_NEW,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC2=CC=C3OC4OC5=CC=C6C=C(*)C=CC6=C5C4C3=C2C=C1)C(F)(F)F,73.0,29.9,7.2,1.2,0.7
Perm636,Polyimides_NEW,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC=C(C=C1)C1(C2=C(C=CC=C2)C2=C1C=CC=C2)C1=CC=C(*)C=C1)C(F)(F)F,,58.9,,3.3,1.96
Perm637,Polyimides_NEW,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC=C(OC2=C(C3=C(C=CC=C3)C=C2)C2=C(OC3=CC=C(*)C=C3)C=CC3=C2C=CC=C3)C=C1)C(F)(F)F,21.1,15.0,2.56,0.4,0.22
Perm638,Polyimides_NEW,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC=CC=C1OC1=C(C2=C(C=CC=C2)C=C1)C1=C(OC2=C(*)C=CC=C2)C=CC2=C1C=CC=C2)C(F)(F)F,6.86,4.88,0.99,0.13,0.07
Perm639,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=C(Cl)C=C(CC2=CC=C(*)C(Cl)=C2)C=C1)C(F)(F)F,,6.78,1.81,0.269,0.121
Perm640,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC(*)=CC=C1)C(F)(F)F,27.3,8.14,2.315,0.345,0.14
Perm641,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC(=CC=C1)C(C1=CC=CC(*)=C1)(C(F)(F)F)C(F)(F)F)C(F)(F)F,,5.1,1.8,0.261,0.08
Perm642,Polyimides_NEW,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1)C1C3=C(C=CC=C3)C2C2=C1C=CC(*)=C2)C(F)(F)F,211.5,131.0,28.15,5.32,3.65
Perm643,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1)C1C=CC(*)=CC1C2)C(F)(F)F,41.9,32.2,5.46,0.8805,0.63
Perm644,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC2=C(C=C1)C1C=CC(*)=CC1C2=O)C(F)(F)F,33.9,7.68,2.34,0.339,0.129
Perm645,Poly(imide−oxadiazole)_NEW,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)C1=NN=C(O1)C1=CC=C(*)C=C1)C(F)(F)F,,15.6,,0.61,0.25
Perm646,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(CC2=CC=C(*)C=C2)C=C1)C(F)(F)F,44.7,11.475,3.15,0.563,0.268
Perm647,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1)C(F)(F)F,47.3,22.0,4.42,0.8275,0.5
Perm648,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(SC2=CC=C(*)C=C2)C=C1)C(F)(F)F,,23.11,4.66,0.87,0.66
Perm649,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(SC2=CC=C(SC3=CC=C(*)C=C3)C=C2)C=C1)C(F)(F)F,,8.92,1.77,0.34,0.28
Perm650,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(SC2=CC=C(SC3=CC=C(SC4=CC=C(*)C=C4)C=C3)C=C2)C=C1)C(F)(F)F,,8.37,1.72,0.37,0.22
Perm651,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(SC2=CC=C(SC3=CC=C(SC4=CC=C(SC5=CC=C(*)C=C5)C=C4)C=C3)C=C2)C=C1)C(F)(F)F,,6.62,1.46,0.29,0.26
Perm652,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(*)=C1)C(F)(F)F,43.65,11.25,3.255,0.4935,0.1865
Perm653,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(OC2=CC(*)=CC=C2)=C1)C(F)(F)F,14.0,2.1,0.68,0.1,0.032
Perm654(ladder),Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(*)\C2=N/*)(C1=CC=C2C(=C1)C(=O)N1C3=CC=CC(OC4=CC=C(*)C(*)=C4)=C3N=C21)C(F)(F)F,,27.6,7.9,1.215,0.54
Perm655,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC(=CC=C1)C(C1=CC(*)=CC=C1)(C(F)(F)F)C(F)(F)F)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C(F)(F)F,,5.1,1.8,0.261,0.08
Perm656,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC=C(C=C1)N(C1=CC=C(*)C=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=CC=C1)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C(F)(F)F,,11.77,1.97,0.45,1.24
Perm657,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC=C(CC2=CC=C(*)C=C2)C=C1)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C(F)(F)F,,19.0,4.6,0.81,0.42
Perm658,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC=C(OC2=CC=C(*)C=C2)C=C1)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C(F)(F)F,,23.0,4.34,0.83,0.38
Perm659,Polyimides_NEW,FC(F)(F)C(C1=CC2=C(C=C1)C(=O)N(C2=O)C1=CC=C(OC2=CC=C(C=C2)C2(C3=C(C=CC=C3)C3=C2C=CC=C3)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1)(C1=CC=C2C(=O)N(*)C(=O)C2=C1)C(F)(F)F,61.33,19.87,4.88,1.26,0.69
Perm660,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC(*)=CC=C1)C(F)(F)F,40.2,9.2,3.01,0.447,0.16
Perm661,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC(OC2=CC=CC(*)=C2)=CC=C1)C(F)(F)F,14.0,2.1,0.68,0.1,0.032
Perm662,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(*)C=C1)C(F)(F)F,34.25,13.55,3.16,0.5895,0.233
Perm663,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=C(*)C=C1)C(F)(F)F,54.0,23.0,6.0,1.24,0.68
Perm664,Polyamides and poly(amide-imides),FC(F)(F)C(C1=CC2C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NC2=CC=C(*)C=C2)C=C1)C(F)(F)F,,5.72,1.49,0.27,0.12
Perm665,Polyamides and poly(amide-imides),FC(F)(F)C(C1=CC2C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NC2=CC=C(*)C=C2)C=C1)C(F)(F)F,,8.91,1.9,0.39,0.17
Perm666,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC2C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(*)=C1)C(F)(F)F,20.3,8.23,2.61,0.363,0.14
Perm667,Polyamides and poly(amide-imides),FC(F)(F)C(C1=CC2C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NC2=CC=C(*)C=C2)=C1)C(F)(F)F,,1.66,0.49,0.08,0.04
Perm668,Polyamides and poly(amide-imides),FC(F)(F)C(C1=CC2C(C=C1)C(=O)N(*)C2=O)(C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=CC(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NC2=CC=C(*)C=C2)=C1)C(F)(F)F,,3.64,1.0,0.2,0.09
Perm669,High Temperature Polymers,FC(F)(F)C(C1=CC2N=C(*)OC2C=C1)(C1=CC=C2OC(=NC2=C1)C1=CC2=C(C=C1)C=C(*)C=C2)C(F)(F)F,24.0,4.7,1.44,0.21,0.097
Perm670,High Temperature Polymers,FC(F)(F)C(C1=CC2N=C(*)OC2C=C1)(C1=CC=C2OC(=NC2=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(*)C=C1)C(F)(F)F,37.0,11.4,3.3,0.55,0.28
Perm671,High Temperature Polymers,FC(F)(F)C(C1=CC2N=C(OC2C=C1)C1=CC(*)=CC=C1)(C1=CC=C2OC(=NC2=C1)C1=CC=CC(*)=C1)C(F)(F)F,1228.0,1014.0,220.0,48.0,41.0
Perm672,Thermally Rearranged Polymers,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)C1=NC2=C(O1)C=CC(=C2)C(C1=CC2=C(OC(*)=N2)C=C1)(C(F)(F)F)C(F)(F)F)C(F)(F)F,3598.5,4884.5,1199.0,317.0,201.5
Perm673,Thermally Rearranged Polymers,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)C1=NC2=C(O1)C=CC(=C2)C(C1=CC=C2OC(*)=NC2=C1)(C(F)(F)F)C(F)(F)F)C(F)(F)F,4194.0,4201.0,1092.0,284.0,151.0
Perm674,High Temperature Polymers,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)C1=NC2=CC(=CC=C2O1)C(C1=CC2N=C(*)OC2C=C1)(C(F)(F)F)C(F)(F)F)C(F)(F)F,120.0,61.0,16.4,3.4,1.6
Perm675,Polyoxadiazole_NEW,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)C1=NN=C(*)O1)C(F)(F)F,,123.0,,6.1,4.55
Perm676,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)N1C(=O)C2=C(C=C(C=C2)C(C2=CC=C3C(=O)N(*)C(=O)C3=C2)(C(F)(F)F)C(F)(F)F)C1=O)C(F)(F)F,,64.0,16.0,3.4,1.6
Perm677,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)N1C(=O)C2=C(C=C3C(=O)N(*)C(=O)C3=C2)C1=O)C(F)(F)F,59.1,27.7,7.1,1.39,0.78
Perm678,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O)C(F)(F)F,,7.3,1.86,0.3,0.156
Perm679,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC2C(C=C1)C(=O)N(*)C2=O)C(F)(F)F,,7.3,1.9,0.31,0.155
Perm680,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC=C2C(=O)N(*)C(=O)C2=C1)C(F)(F)F,30.8,27.7,2.5,0.45,0.226
Perm681,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(C1=CC2=C(C=C1)C(=O)N(*)C2=O)(C(F)(F)F)C(F)(F)F)C(F)(F)F,,63.9,16.3,3.47,1.6
Perm682,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(C1=CC=C2C(=O)N(*)C(=O)C2=C1)(C(F)(F)F)C(F)(F)F)C(F)(F)F,108.0,63.9,16.3,3.22,1.602
Perm683,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2=C(C=C1)C(=O)N(*)C2=O)C(F)(F)F,,22.1,5.22,0.9785,0.6105
Perm684,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(C=C1)N1C(=O)C2=CC=C(C=C2C1=O)C1=CC2C(C=C1)C(=O)N(*)C2=O)C(F)(F)F,,27.4,6.65,1.21,0.761
Perm685,Poly(aryl ethers) and Poly(aryl ether ketones),FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(O*)C3=C2C=CC=C3)C=C1)C(F)(F)F,,6.04,1.85,0.325,0.21
Perm686,Poly(aryl ethers) and Poly(aryl ether ketones),FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=CC(=C2)C2=CC=CC(=C2)C(=O)C2=CC=C(O*)C=C2)C=C1)C(F)(F)F,,1.95,0.61,0.0792,0.058
Perm687,Poly(aryl ethers) and Poly(aryl ether ketones),FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=CC=C2C2=C(C=CC=C2)C(=O)C2=CC=C(O*)C=C2)C=C1)C(F)(F)F,,3.12,0.99,0.146,0.087
Perm688,Polysulfones,FC(F)(F)C(C1=CC=C(*)C=C1)(C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1)C(F)(F)F,15.1,8.445,2.325,0.4315,0.3455
Perm689,Polyamides and poly(amide-imides),FC(F)(F)C(C1=CC=C(C=C1)C(*)=O)(C1=CC=C(C=C1)C(=O)NC1=CC(N*)=CC=C1)C(F)(F)F,23.0,8.4,2.2,0.4,0.24
Perm690,Polyamides and poly(amide-imides),FC(F)(F)C(C1=CC=C(N*)C=C1)(C1=CC=C(NC(=O)C2=CC(=CC(=C2)C2=CC=CC=C2)C(*)=O)C=C1)C(F)(F)F,42.0,21.0,5.5,1.2,0.78
Perm691,Polyamides and poly(amide-imides),FC(F)(F)C(C1=CC=C(N*)C=C1)(C1=CC=C(NC(=O)C2=CC(=CC=C2)C(*)=O)C=C1)C(F)(F)F,29.0,9.0,2.4,0.42,0.2
Perm692,Polycarbonates,FC(F)(F)C(C1=CC=C(O*)C=C1)(C1=CC=C(OC(*)=O)C=C1)C(F)(F)F,27.0,24.0,6.9,1.7,1.05
Perm693,Polyesters,FC(F)(F)C(C1=CC=C(O*)C=C1)(C1=CC=C(OC(=O)C2=CC=C(C=C2)C(*)=O)C=C1)C(F)(F)F,,47.1,11.8,2.95,2.74
Perm694,Polyesters,FC(F)(F)C(C1=CC=C(O*)C=C1)(C1=CC=C(OC(=O)C2=CC=CC(=C2)C(*)=O)C=C1)C(F)(F)F,,14.9,4.2,0.89,0.61
Perm695,Uncategorised,FC(F)(F)C(C1=CC=C(O*)C=C1)(C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)(C(F)(F)F)C(F)(F)F)C=C1)C(F)(F)F,31.4,11.5,3.7,0.76,0.477
Perm696,Polysulfones,FC(F)(F)C(C1=CC=C(O*)C=C1)(C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1)C(F)(F)F,,12.0,3.4,0.67,0.55
Perm697,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC(=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)C=C1)(C1=CC=C(OC(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(*)C=C2)C=C1)C(F)(F)F,4.36,,0.251,0.0355,
Perm698,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC(=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)C=C1)(C1=CC=C(OC(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(C=C2)C2=CC=C(*)C=C2)C=C1)C(F)(F)F,5.01,,0.348,0.0517,
Perm699,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC(=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)C=C1)(C1=CC=C(OC(=O)C2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(CC3=CC=C(*)C=C3)C=C2)C=C1)C(F)(F)F,11.8,,0.917,0.164,
Perm700,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC(=O)C2=CC3=C(C=C2)C(=O)N2C4=C(C=C(*)C=C4)N=C32)C=C1)(C1=CC=C(OC(=O)C2=CC=C3C4=NC5=C(C=C(*)C=C5)N4C(=O)C3=C2)C=C1)C(F)(F)F,13.3,,0.977,0.155,
Perm701,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC2=CC(*)=CC=C2)C=C1)(C1=CC=C(OC2=CC(=CC=C2)N2C(=O)C3=CC=C(C=C3C2=O)C(C2=CC3=C(C=C2)C(=O)N(*)C3=O)(C(F)(F)F)C(F)(F)F)C=C1)C(F)(F)F,21.0,6.005,1.35,0.241,0.136
Perm702,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC2=CC(=CC=C2)N2C(=O)C3=CC4C(C=C3C2=O)C(=O)N(*)C4=O)C=C1)(C1=CC=C(OC2=CC=CC(*)=C2)C=C1)C(F)(F)F,19.0,6.12,1.4,0.29,0.17
Perm703,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC2=CC3=C(C=C2)C(=O)N(*)C3=O)C=C1)(C1=CC=C(OC2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(CC3=CC=C(*)C=C3)C=C2)C=C1)C(F)(F)F,8.31,,0.501,0.076,
Perm704,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC2=CC3=C(C=C2)C(=O)N(*)C3=O)C=C1)(C1=CC=C(OC2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(OC3=CC=C(*)C=C3)C=C2)C=C1)C(F)(F)F,8.95,,0.55,0.084,
Perm705,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC2=CC=C(*)C=C2)C=C1)(C1=CC=C(OC2=CC=C(C=C2)N2C(=C)C3=CC=C4C(=C)N(*)C(=C)C5=C4C3=C(C=C5)C2=C)C=C1)C(F)(F)F,50.0,21.0,4.4,0.72,0.48
Perm706,Polyimides and Polypyrrolones,FC(F)(F)C(C1=CC=C(OC2=CC=C(*)C=C2)C=C1)(C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=C(C=C4C(=O)N(*)C(=O)C4=C3)C2=O)C=C1)C(F)(F)F,34.3,17.6,4.98,0.943,0.638
