gas,domain,candidate_group,n_candidates,n_valid_smiles,n_in_domain,fraction_in_domain,max_tanimoto_q05,max_tanimoto_median,max_tanimoto_q95,similarity_threshold
H2,hybrid,Rule-based,9257,9257,5319,0.5745922004969213,0.2552357113057989,0.3835616438356164,0.6842105263157895,0.36363636363636365
CH4,ladder,All candidates,77246,77233,22237,0.2879209664262686,0.08333333333333333,0.3125,0.6197183098591549,0.38898305084745766
CH4,ladder,Selected candidates,22,22,22,1.0,0.4114961610292592,0.540045766590389,0.8796969696969695,0.38898305084745766
CH4,ladder,DiT,64791,64778,16244,0.25076414832196114,0.08,0.2978723404255319,0.5882352941176471,0.38898305084745766
CH4,ladder,LLM,3198,3198,1560,0.4878048780487805,0.1775474826650588,0.3835616438356164,0.8235294117647058,0.38898305084745766
CH4,ladder,Rule-based,9257,9257,4433,0.4788808469266501,0.25,0.38271604938271603,0.6515151515151515,0.38898305084745766
CH4,hybrid,All candidates,77246,77233,19618,0.25401059132754134,0.10526315789473684,0.3181818181818182,0.6363636363636364,0.41660256410256413
CH4,hybrid,Selected candidates,22,22,21,0.9545454545454546,0.44441548771407297,0.59004884004884,0.9322503725782414,0.41660256410256413
CH4,hybrid,DiT,64791,64778,14247,0.2199357806662756,0.1016949152542373,0.30357142857142855,0.6,0.41660256410256413
CH4,hybrid,LLM,3198,3198,1447,0.4524702939337086,0.2,0.3918918918918919,0.8236842105263154,0.41660256410256413
CH4,hybrid,Rule-based,9257,9257,3924,0.42389543048503836,0.2643244415528085,0.3888888888888889,0.6935483870967742,0.41660256410256413
CO2,ladder,All candidates,77246,77233,13642,0.1766343402431603,0.08333333333333333,0.30952380952380953,0.6233766233766234,0.4505429864253394
CO2,ladder,Selected candidates,22,22,15,0.6818181818181818,0.38583155650319834,0.5296544035674471,0.8794281524926684,0.4505429864253394
CO2,ladder,DiT,64791,64778,9414,0.14532711723115874,0.08,0.29523809523809524,0.5925925925925926,0.4505429864253394
CO2,ladder,LLM,3198,3198,1240,0.3877423389618512,0.17793785310734464,0.3819203268641471,0.830547588005215,0.4505429864253394
CO2,ladder,Rule-based,9257,9257,2988,0.32278275899319436,0.25,0.37662337662337664,0.6461538461538462,0.4505429864253394
CO2,hybrid,All candidates,77246,77233,20303,0.2628798570559217,0.10655737704918032,0.3163265306122449,0.6445614035087702,0.41206896551724137
CO2,hybrid,Selected candidates,22,22,21,0.9545454545454546,0.4438368956214982,0.59004884004884,0.9322503725782414,0.41206896551724137
CO2,hybrid,DiT,64791,64778,14902,0.23004723825990306,0.102803738317757,0.3010752688172043,0.609375,0.41206896551724137
CO2,hybrid,LLM,3198,3198,1469,0.45934959349593496,0.20131782945736437,0.391304347826087,0.8337431693989061,0.41206896551724137
