PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,H2,H2_log10
Perm222,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)(C1=CC=C(*)C=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C2=CC=C(C=C2)C(=O)C2=CC=C(O*)C=C2)C=C1,1.1069540328999998,0.0068571397512691,10,0.553362249929006,0.2036894535224099,8.9,0.9493900066449128
Perm223,Polysulfones,CC(C)(C1=CC=C(*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(C=C2)C2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1,1.182170504,0.0071531616462989,10,0.519473999638814,0.2016611080417136,20.1,1.3031960574204888
Perm224,Polysulfones,CC(C)(C1=CC=C(*)C=C1)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1,1.1462518466,0.007648819223636,10,0.5311759908882971,0.208480101447116,14.0,1.146128035678238
Perm225,Uncategorised,CC(C)(C1=CC=C(C=C1)C(=O)C1=CC=C(*)C=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(OC2=CC=C(C=C2)C(C2=CC=C(O*)C=C2)(C(F)(F)F)C(F)(F)F)C=C1,1.1627014925,0.0083431343490969,10,0.5061079794619153,0.2350117459875131,22.8,1.3579348470004537
Perm226,Polysulfones,CC(C)(C1=CC=C(O*)C=C1)C1=CC(=CC=C1)C(C)(C)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.111742546,0.0070944818377447,10,0.550822735532478,0.2039150084857697,10.6,1.0253058652647702
Perm227,Polysulfones,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(C=C1)C(C)(C)C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1,1.0942543519,0.0079222820366169,10,0.5501938223907736,0.2173324200985203,36.0,1.5563025007672873
Perm228,Polycarbonates,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC(*)=O)C=C1,1.1034996661999998,0.0072595901293491,10,0.5506457656063612,0.210071355896618,13.0,1.1139433523068367
Perm236,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.0964141053,0.0071914033034321,10,0.5562269608054993,0.2071883887521104,11.0,1.0413926851582251
Perm237,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.1133915669,0.0069377917392114,10,0.5511811388320172,0.202215438647122,9.07,0.9576072870600952
Perm238,Uncategorised,CC(C)(C1=CC=C(O*)C=C1)C1=CC=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(C=C2)C(C)(C)C2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.0646093057,0.0069672447233172,10,0.5641833341433801,0.2191747240551366,12.4,1.0934216851622351
