PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,N2,N2_log10
Perm244,Polyamides and poly(amide-imides),CC(C)(C1=CC=C(OC2=CC3C(C=C2)C(=O)N(*)C3=O)C=C1)C1=CC=C(OC2=CC3=C(C=C2)C(=O)N(C3=O)C2=CC=CC(*)=C2)C=C1,1.1419415760000002,0.0076572857402837,10,0.5211968222951988,0.2262707831446371,0.0323,-1.490797477668897
Perm245,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(OC2=CC3C(C=C2)C(=O)N(*)C3=O)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(C=C2)C2=CC=C(OC3=CC=C(C=C3)C3(C4=C(C=CC=C4)C4=C3C=CC=C4)C3=CC=C(OC4=CC=C(C=C4C(F)(F)F)C4=CC=C(*)C=C4)C=C3)C(=C2)C(F)(F)F)C=C1,1.1329310301,0.0077532921268044,10,0.50912124322138,0.2501609691128321,1.19,0.07554696139253074
Perm246,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(OC2=CC=C(*)C=C2)C=C1)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=CC=C(C=C3C2=O)C(=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)C=C1,1.166281977,0.0075490221001849,10,0.5176328697000124,0.2151823473759119,0.11,-0.958607314841775
Perm247,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(OC2=CC=C(*)C=C2)C=C1)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=CC=C(C=C3C2=O)C2=CC3=C(C=C2)C(=O)N(*)C3=O)C=C1,1.1412029917,0.0074076632720307,10,0.5216383749390585,0.2261161437142261,0.0938,-1.0277971616209356
Perm248,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(OC2=CC=C(*)C=C2)C=C1)C1=CC=C(OC2=CC=C(C=C2)N2C(=O)C3=CC=C(OC4=CC5=C(C=C4)C(=O)N(*)C5=O)C=C3C2=O)C=C1,1.1604840739000002,0.0075406508386265,10,0.5171810119285087,0.2197655740335234,0.07,-1.154901959985743
Perm249,Polysulfones,CC(C)(C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(*)C=C2)C=C1)C1=CC=CC(O*)=C1,1.1560508850000002,0.0079018985409853,10,0.5311150705964744,0.2018051383801405,0.066,-1.1804560644581312
Perm250,Polysulfones,CC(C)(C1=CC=C(OC2=CC=C(C=C2)S(=O)(=O)C2=CC=C(O*)C=C2)C=C1)C1=CC(*)=CC=C1,1.1432015191,0.0074484717652511,10,0.5311487943294477,0.2106268588907743,0.0661,-1.1797985405143596
Perm252,Polyimides and Polypyrrolones,CC(C)(C1=CC=C(OC2=CC=C3C(=O)N(*)C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C(=O)C3=C2)C2=CC=C(C=C2)C2=CC(=C(OC3=CC=C(C=C3)C3(N(C(=O)C4=C3C=CC=C4)C3=CC=CC=C3)C3=CC=C(OC4=CC=C(C=C4C(F)(F)F)C4=CC=C(*)C=C4)C=C3)C=C2)C(F)(F)F)C=C1,1.163772642,0.0086706940014985,10,0.506736723168942,0.2333557643430349,0.95,-0.022276394711152253
Perm258,Polymers with High Free Volume,CC(C)C12C3=CC4=C(C=C3C(C(C)C)(C3=C1C=CC=C3)C1=C2C=C2C(=O)N(C(=O)C2=C1)C1=C2C=CC=CC2=C(C=C1C)C1=CC(C)=C(*)C2=C1C=CC=C2)C(=O)N(*)C4=O,0.68188367212,0.0055340568229808,10,0.5313181736932308,0.5290136564553581,145.0,2.161368002234975
Perm259,Poly(aryl ethers) and Poly(aryl ether ketones),CC(C)C1=C(O*)C=CC(=C1)C(C1C=CC=CC1C(O)=O)C1=CC(C(C)C)=C(OC2=CC=C(C=C2)C(=O)C2=CC=C(*)C=C2)C=C1,1.01405140663,0.0087863909674712,10,0.5657706260983395,0.2541633510075559,1.18,0.07188200730612536
