PID,Type,SMILES,density_MD,density_MD_std,n_repeat_vdw,vdw,FFV,O2,O2_log10
Perm79,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C(SC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(OC4=CC=C(*)C=C4)C=C3)C=C2)C1=O,1.2370422366,0.0068089408827118,10,0.4849005874193208,0.2202047406531944,0.198,-0.7033348097384688
Perm80,Polyimides and Polypyrrolones,*N1C(=O)C2=C(C=C3C(=C2)S(=O)(=O)C2=C(C=C4C(=O)N(C(=O)C4=C2)C2=CC=C(OC4=CC=C(*)C=C4)C=C2)S3(=O)=O)C1=O,1.1698866932999998,0.0069138610416487,10,0.4451187658714369,0.3230399225295541,1.6,0.2041199826559248
Perm87,Polyimides and Polypyrrolones,*N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(OC2=CC=C(*)C=C2)C=C1,1.2035022262,0.0064883864083404,10,0.4901347033453402,0.2331583314018084,0.191,-0.7189666327522725
Perm91,Polyimides and Polypyrrolones,*N1C(=O)C2=CC=C(OC3=CC=C(OC4=CC5=C(C=C4)C(=O)N(C5=O)C4=CC=C(CC5=CC=C(*)C=C5)C=C4)C=C3)C=C2C1=O,1.1872565027000002,0.0063498462310768,10,0.5054889015870425,0.2198115189125343,0.242,-0.6161846340195687
Perm92,Polyimides and Polypyrrolones,*N1C(=O)C2=CC=C(OC3=CC=C(OC4=CC5=C(C=C4)C(=O)N(C5=O)C4=CC=CC(*)=C4)C=C3)C=C2C1=O,1.2177334962,0.0068019472046569,10,0.4888194664611158,0.2261726107243928,0.149,-0.826813731587726
Perm93,Polyimides and Polypyrrolones,*N1C(=O)C2C=C3C(=O)N(C(=O)C3=CC2C1=O)C1=CC(OC2=CC(*)=CC=C2)=CC=C1,1.2065623196000002,0.0075111325991036,10,0.488103345475027,0.2343947638628705,0.13,-0.8860566476931632
Perm94,Polyimides and Polypyrrolones,*N1C(=O)C2C=CC(=CC2C1=O)C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=C(*)C=C1,1.1212571899,0.0077267950301665,10,0.5113672102027249,0.2546135905454171,0.86,-0.06550154875643228
Perm95,Polyimides and Polypyrrolones,*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)N(C1=CC=CC=C1)C1=CC=C(*)C=C1,1.1030164929,0.0076643352003603,10,0.515560902655118,0.2607261676600915,1.19,0.07554696139253074
Perm96,Polyimides and Polypyrrolones,*N1C(=O)C2C=CC(=CC2C1=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(*)C=C1,1.2182266719,0.0067731655718433,10,0.4835087784863429,0.2342697229351926,0.5,-0.3010299956639812
Perm98,Polyimides and Polypyrrolones,*N1C(=O)C2C=CC(OC3=CC=C4C(=O)N(C(=O)C4=C3)C3=CC=C(C=C3)N(C3=CC=CC=C3)C3=CC=C(*)C=C3)=CC2C1=O,1.1727620639000005,0.0071341504367051,10,0.510287761157826,0.2220200336541286,0.76,-0.11918640771920865
